Title	Country	ReleaseDate	TotalGross
Finding Dory	Argentina	6/16/16	$16,004,539
Finding Dory	Australia	6/16/16	$36,312,640
Finding Dory	Austria	9/29/16	$4,572,667
Finding Dory	Belgium	6/22/16	$5,204,300
Finding Dory	Bolivia	6/23/16	$1,313,486
Finding Dory	Brazil	6/30/16	$34,529,711
Finding Dory	Bulgaria	6/17/16	$391,220
Finding Dory	Chile	6/16/16	$7,026,238
Finding Dory	China	6/17/16	$38,052,302
Finding Dory	Colombia	6/16/16	$7,995,441
Finding Dory	Czech Republic	6/16/16	$1,942,288
Finding Dory	Denmark	8/25/16	$2,532,112
Finding Dory	Finland	8/26/16	$921,010
Finding Dory	France	6/22/16	$21,880,347
Finding Dory	Germany	9/29/16	$35,307,381
Finding Dory	Greece	9/1/16	$2,054,994
Finding Dory	Hong Kong	7/14/16	$6,615,732
Finding Dory	Hungary	6/16/16	$1,114,967
Finding Dory	Iceland	6/17/16	$364,372
Finding Dory	India	6/17/16	$2,799,262
Finding Dory	Italy	9/15/16	$17,433,399
Finding Dory	Japan	7/16/16	$65,982,721
Finding Dory	Lithuania	8/19/16	$169,087
Finding Dory	Malaysia	6/16/16	$1,954,333
Finding Dory	Mexico	7/15/16	$24,781,954
Finding Dory	Netherlands	6/29/16	$9,976,165
Finding Dory	New Zealand	6/23/16	$5,050,227
Finding Dory	Norway	8/26/16	$2,786,441
Finding Dory	Panama	6/24/16	$6,800,000
Finding Dory	Paraguay	6/16/16	$327,166
Finding Dory	Philippines	6/15/16	$4,640,452
Finding Dory	Poland	6/17/16	$3,654,512
Finding Dory	Portugal	6/23/16	$2,185,259
Finding Dory	Romania	6/17/16	$631,451
Finding Dory	Russia - CIS	6/16/16	$9,222,835
Finding Dory	Singapore	6/16/16	$4,135,984
Finding Dory	Slovakia	6/16/16	$1,465,935
Finding Dory	Slovenia	6/17/16	$145,145
Finding Dory	South Africa	6/16/16	$3,024,048
Finding Dory	South Korea	7/6/16	$18,175,847
Finding Dory	Spain	6/22/16	$20,038,169
Finding Dory	Sweden	8/26/16	$6,438,969
Finding Dory	Switzerland	6/22/16	$5,127,323
Finding Dory	Taiwan	7/7/16	$5,062,350
Finding Dory	Thailand	6/16/16	$1,492,471
Finding Dory	Turkey	9/2/16	$2,145,693
Finding Dory	Ukraine	6/16/16	$784,805
Finding Dory	United Arab Emirates	6/16/16	$4,347,363
Finding Dory	United Kingdom	7/29/16	$56,327,874
Finding Dory	Venezuela	6/17/16	$3,319,862
Zootopia	Argentina	2/18/16	$8,369,084
Zootopia	Australia	3/17/16	$21,369,695
Zootopia	Austria	3/3/16	$3,751,557
Zootopia	Belgium	2/10/16	$4,488,364
Zootopia	Bolivia	2/18/16	$909,666
Zootopia	Brazil	3/17/16	$10,675,203
Zootopia	Bulgaria	3/4/16	$1,010,741
Zootopia	Chile	2/18/16	$4,266,919
Zootopia	China	3/4/16	$235,591,257
Zootopia	Colombia	2/18/16	$5,587,150
Zootopia	Croatia	3/3/16	$283,126
Zootopia	Czech Republic	2/25/16	$1,415,576
Zootopia	Denmark	2/12/16	$4,035,059
Zootopia	Ecuador	2/26/16	$2,494,960
Zootopia	Estonia	3/4/16	$393,779
Zootopia	Finland	3/4/16	$1,657,796
Zootopia	France	2/17/16	$31,884,949
Zootopia	Germany	3/3/16	$34,237,118
Zootopia	Greece	3/3/16	$944,722
