Rank	Title	Studio	Worldwide	Domestic	DomesticPercent	Overseas	OverseasPercent
1	Captain America: Civil War	BV	$1,153.3	$408.1	35.4%	$745.2	64.6%
2	Rogue One: A Star Wars Story	BV	$1,056.1	$532.2	50.4%	$523.9	49.6%
3	Finding Dory	BV	$1,028.6	$486.3	47.3%	$542.3	52.7%
4	Zootopia	BV	$1,023.8	$341.3	33.3%	$682.5	66.7%
5	The Jungle Book (2016)	BV	$966.6	$364.0	37.7%	$602.5	62.3%
6	The Secret Life of Pets	Uni.	$875.5	$368.4	42.1%	$507.1	57.9%
7	Batman v Superman: Dawn of Justice	WB	$873.3	$330.4	37.8%	$542.9	62.2%
8	Fantastic Beasts and Where To Find Them	WB	$814.0	$234.0	28.8%	$580.0	71.2%
9	Deadpool	Fox	$783.1	$363.1	46.4%	$420.0	53.6%
10	Suicide Squad	WB	$745.6	$325.1	43.6%	$420.5	56.4%
11	Doctor Strange	BV	$677.7	$232.6	34.3%	$445.1	65.7%
12	Moana	BV	$643.3	$248.8	38.7%	$394.6	61.3%
13	Sing	Uni.	$634.3	$270.3	42.6%	$364.0	57.4%
14	The Mermaid (Mei ren yu)	Sony	$553.8	$3.2	0.6%	$550.6	99.4%
15	X-Men: Apocalypse	Fox	$543.9	$155.4	28.6%	$388.5	71.4%
16	Kung Fu Panda 3	Fox	$521.2	$143.5	27.5%	$377.6	72.5%
17	La La Land	LG/S	$445.7	$151.1	33.9%	$294.6	66.1%
18	Warcraft	Uni.	$433.7	$47.4	10.9%	$386.3	89.1%
19	Jason Bourne	Uni.	$415.5	$162.4	39.1%	$253.1	60.9%
20	Ice Age: Collision Course	Fox	$408.6	$64.1	15.7%	$344.5	84.3%
21	Independence Day: Resurgence	Fox	$389.7	$103.1	26.5%	$286.5	73.5%
22	Monster Hunt	FR	$385.3	$32.8k	0.0%	$385.3	100.0%
23	The Legend of Tarzan	WB	$356.7	$126.6	35.5%	$230.1	64.5%
24	The Angry Birds Movie	Sony	$349.8	$107.5	30.7%	$242.3	69.3%
25	Trolls	Fox	$346.9	$153.7	44.3%	$193.2	55.7%
26	Star Trek Beyond	Par.	$343.5	$158.8	46.2%	$184.6	53.8%
27	Now You See Me 2	LG/S	$334.9	$65.1	19.4%	$269.8	80.6%
28	The Conjuring 2	WB (NL)	$320.3	$102.5	32.0%	$217.8	68.0%
29	Passengers (2016)	Sony	$303.1	$100.0	33.0%	$203.1	67.0%
30	Dangal	UTV	$302.9	$12.4	4.1%	$290.5	95.9%
31	Alice Through the Looking Glass	BV	$299.5	$77.0	25.7%	$222.4	74.3%
32	Miss Peregrine's Home for Peculiar Children	Fox	$296.5	$87.2	29.4%	$209.2	70.6%
33	Teenage Mutant Ninja Turtles: Out of the Shadows	Par.	$245.6	$82.1	33.4%	$163.6	66.6%
34	Assassin's Creed	Fox	$240.7	$54.6	22.7%	$186.0	77.3%
35	Sully	WB	$238.5	$125.1	52.4%	$113.4	47.6%
36	Hidden Figures	Fox	$234.1	$169.4	72.4%	$64.7	27.6%
37	Ghostbusters (2016)	Sony	$229.1	$128.4	56.0%	$100.8	44.0%
38	Inferno	Sony	$220.0	$34.3	15.6%	$185.7	84.4%
39	Central Intelligence	WB (NL)	$217.0	$127.4	58.7%	$89.5	41.3%
40	Bridget Jones's Baby	Uni.	$212.0	$24.3	11.4%	$187.7	88.6%
41	Me Before You	WB (NL)	$207.9	$56.2	27.0%	$151.7	73.0%
42	London Has Fallen	Focus	$205.8	$62.5	30.4%	$143.2	69.6%
43	Arrival	Par.	$203.4	$100.5	49.4%	$102.8	50.6%
44	The Monkey King 2 in 3D	CL	$193.7	$710k	0.4%	$193.0	99.6%
45	Bad Moms	STX	$183.9	$113.3	61.6%	$70.7	38.4%
46	The BFG	BV	$183.3	$55.5	30.3%	$127.9	69.7%
47	Storks	WB	$182.4	$72.7	39.9%	$109.7	60.1%
48	The Divergent Series: Allegiant	LG/S	$179.2	$66.2	36.9%	$113.1	63.1%
49	Hacksaw Ridge	LGF	$175.3	$67.2	38.3%	$108.1	61.7%
50	The Girl on the Train (2016)	Uni.	$173.2	$75.4	43.5%	$97.8	56.5%
51	Operation Mekong	WGUSA	$173.1	$800k	0.5%	$172.3	99.5%
52	The Huntsman: Winter's War	Uni.	$165.0	$48.4	29.3%	$116.6	70.7%
53	The Magnificent Seven (2016)	Sony	$162.4	$93.4	57.5%	$68.9	42.5%
54	Jack Reacher: Never Go Back	Par.	$162.1	$58.7	36.2%	$103.4	63.8%
55	Don't Breathe	SGem	$157.1	$89.2	56.8%	$67.9	43.2%
56	Ip Man 3	WGUSA	$156.8	$2.7	1.7%	$154.2	98.3%
57	The Accountant	WB	$155.2	$86.3	55.6%	$68.9	44.4%
58	Gods of Egypt	LG/S	$150.7	$31.2	20.7%	$119.5	79.3%
59	Lights Out	WB (NL)	$148.9	$67.3	45.2%	$81.6	54.8%
60	Pete's Dragon (2016)	BV	$143.7	$76.2	53.1%	$67.5	46.9%
61	Sausage Party	Sony	$140.7	$97.7	69.4%	$43.0	30.6%
62	Lion	Wein.	$140.3	$51.7	36.9%	$88.6	63.1%
63	Detective Chinatown (Tang ren jie tan an)	CL	$125.8	$474k	0.4%	$125.4	99.6%
64	Mechanic: Resurrection	LG/S	$125.7	$21.2	16.9%	$104.5	83.1%
65	Ride Along 2	Uni.	$124.6	$91.2	73.2%	$33.4	26.8%
66	Deepwater Horizon	LG/S	$121.8	$61.4	50.4%	$60.4	49.6%
67	Allied	Par.	$119.5	$40.1	33.5%	$79.4	66.5%
68	The Shallows	Sony	$119.1	$55.1	46.3%	$64.0	53.7%
69	The Purge: Election Year	Uni.	$118.6	$79.2	66.8%	$39.4	33.2%
70	Why Him?	Fox	$118.0	$60.3	51.1%	$57.7	48.9%
71	Finding Mr. Right 2	CL	$114.7	n/a	0.0%	$114.7	100.0%
72	Office Christmas Party	Par.	$114.5	$54.8	47.8%	$59.7	52.2%
73	How to Be Single	WB (NL)	$112.3	$46.8	41.7%	$65.5	58.3%
74	10 Cloverfield Lane	Par.	$110.2	$72.1	65.4%	$38.1	34.6%
75	The 5th Wave	Sony	$109.9	$34.9	31.8%	$75.0	68.2%
76	Neighbors 2: Sorority Rising	Uni.	$108.0	$55.5	51.3%	$52.6	48.7%
77	Cold War 2	WGUSA	$103.2	$561k	0.5%	$102.6	99.5%
78	The Little Prince	EOne	$97.6	$1.3	1.4%	$96.2	98.6%
79	Dirty Grandpa	LGF	$94.1	$35.6	37.8%	$58.5	62.2%
80	Ben-Hur (2016)	Par.	$94.1	$26.4	28.1%	$67.7	71.9%
81	Money Monster	TriS	$93.3	$41.0	44.0%	$52.3	56.0%
82	My Big Fat Greek Wedding 2	Uni.	$88.9	$59.7	67.1%	$29.2	32.9%
83	Collateral Beauty	WB (NL)	$88.4	$31.0	35.1%	$57.4	64.9%
84	Train to Busan	WGUSA	$87.5	$2.1	2.4%	$85.4	97.6%
85	Sultan	Yash	$87.3	$6.2	7.1%	$81.1	92.9%
86	War Dogs	WB	$86.2	$43.0	49.9%	$43.2	50.1%
87	Nerve	LGF	$85.2	$38.6	45.3%	$46.7	54.7%
88	Ouija: Origin of Evil	Uni.	$81.7	$35.1	43.0%	$46.6	57.0%
89	The Boss	Uni.	$78.8	$63.3	80.3%	$15.6	19.7%
90	Shin Godzilla	FUN	$77.9	$1.9	2.5%	$76.0	97.5%
91	Manchester by the Sea	RAtt.	$77.5	$47.7	61.5%	$29.8	38.5%
92	Mike and Dave Need Wedding Dates	Fox	$77.1	$46.0	59.7%	$31.1	40.3%
93	Boo! A Madea Halloween	LGF	$74.8	$73.2	97.8%	$1.6	2.2%
94	Miracles from Heaven	TriS	$73.9	$61.7	83.5%	$12.2	16.5%
95	I Am Not Madame Bovary	WGUSA	$70.8	$437k	0.6%	$70.4	99.4%
96	Kubo and the Two Strings	Focus	$69.9	$48.0	68.7%	$21.9	31.3%
97	13 Hours: The Secret Soldiers of Benghazi	Par.	$69.4	$52.9	76.1%	$16.6	23.9%
98	Moonlight (2016)	A24	$65.0	$27.9	42.8%	$37.2	57.2%
