Title	Country	Total_Gross
Inferno	Ethiopia	0
Inferno	India	2.455817
Inferno	Croatia	0.371842
Inferno	Peru	1.030518
Inferno	Uruguay	0.175222
Inferno	Bulgaria	0.490856
Inferno	Panama	0
Inferno	Qatar	0
Inferno	Israel	0.698123
Inferno	Greece	1.840501
Inferno	Portugal	1.579524
Inferno	China	19.371553
Inferno	Iceland	0.113502
Inferno	France	7.006062
Inferno	Russia	9.265309
Inferno	Finland	1.512208
Inferno	Hungary	1.106905
Inferno	Japan	14.456437
Inferno	Sweden	2.397901
Inferno	Ghana	0
Inferno	Slovenia	0.159204
Inferno	Brazil	10.327371
Inferno	Colombia	1.856957
Inferno	Poland	3.296336
Inferno	Chile	1.15292
Inferno	Italy	13.938143
Inferno	Australia	4.030884
Inferno	Philippines	1.336616
Inferno	Lithuania	0.153105
Inferno	Cyprus	0
Inferno	Nigeria	0.081521
Inferno	Czech Republic	0.804197
Inferno	Kenya	0
Inferno	Bahrain	0
Inferno	Spain	6.156483
Inferno	Cambodia	0
Inferno	Austria	1.721585
Inferno	Bolivia	0.194263
Inferno	Estonia	0.195321
Inferno	Trinidad & Tobago	0
Inferno	Taiwan	2.818938
Inferno	Denmark	2.570419
Inferno	Netherlands	5.539767
Inferno	Argentina	1.985039
Inferno	South Africa	0.446188
Inferno	USA	34.3
Inferno	Pakistan	0.053833
Inferno	Slovakia	0.432586
Inferno	Hong Kong	1.603676
Inferno	United Kingdom	10.153271
Inferno	Paraguay	0.058466
Inferno	Costa Rica	0
Inferno	United Arab Emirates	2.08248
Inferno	Venezuela	0.248917
Inferno	Dominican Republic	0
Inferno	Serbia & Montenegro	0.143956
Inferno	Romania	0.871114
Inferno	Oman	0
Inferno	Norway	0.874438
Inferno	Ukraine	1.349068
Inferno	Lebanon	0.295338
Inferno	Mexico	6.343785
Inferno	Ecuador	0.618464
Inferno	Indonesia	2.120571
Inferno	Germany	14.453514
Inferno	Belgium	1.915629
Inferno	South Korea	5.013643
Inferno	Switzerland	2.478238
Inferno	Latvia	0.1783
Inferno	Turkey	2.164289
Inferno	Thailand	1.044583
Inferno	Egypt	0.465702
Inferno	New Zealand	0.629407
Inferno	Singapore	1.189473
Inferno	Vietnam	0.633295
Inferno	Honduras	0
Inferno	Malaysia	1.097471
Inferno	Jordan	0
Regression	Ethiopia	0
Regression	Malaysia	0.054213
Regression	Croatia	0
Regression	Peru	0
Regression	India	0
Regression	Bulgaria	0
Regression	Panama	0
Regression	Qatar	0
Regression	Romania	0
Regression	Greece	0.070465
Regression	Portugal	0.071168
Regression	China	0
Regression	Iceland	0
Regression	France	0.875515
Regression	Russia	0.237033
Regression	Finland	0
Regression	Japan	0
Regression	Sweden	0
Regression	Ghana	0
Regression	Vietnam	0.07521
Regression	Brazil	0
Regression	Latvia	0
Regression	Uruguay	0
Regression	Colombia	0
Regression	Lithuania	0
Regression	Chile	0
Regression	Italy	1.370648
Regression	Australia	0
Regression	Philippines	0.051957
Regression	South Africa	0.01902
Regression	Cyprus	0
Regression	New Zealand	0
Regression	Czech Republic	0
Regression	Bahrain	0
Regression	Slovenia	0
Regression	Cambodia	0
Regression	Austria	0.119072
Regression	Bolivia	0
Regression	Estonia	0
Regression	Trinidad & Tobago	0
Regression	Taiwan	0.076176
Regression	Denmark	0
Regression	Netherlands	0.229964
Regression	Paraguay	0
Regression	Spain	9.722131
Regression	USA	0.055
Regression	Pakistan	0
Regression	Slovakia	0
Regression	Hong Kong	0
Regression	United Kingdom	0.329167
Regression	Hungary	0
Regression	Costa Rica	0
Regression	United Arab Emirates	0
Regression	Venezuela	0
Regression	Dominican Republic	0
Regression	Serbia & Montenegro	0
Regression	Oman	0
Regression	Norway	0
Regression	Ukraine	0.019194
Regression	Lebanon	0
Regression	Ecuador	0
Regression	Indonesia	0
Regression	Germany	0.551494
Regression	Belgium	0.192187
Regression	South Korea	0.121003
Regression	Poland	0
Regression	Israel	0
Regression	Switzerland	0.152387
Regression	Turkey	0.10083
Regression	Thailand	0.033125
Regression	Egypt	0
Regression	Nigeria	0
Regression	Mexico	0
Regression	Singapore	0.042864
Regression	Kenya	0
Regression	Honduras	0
Regression	Argentina	0
Regression	Jordan	0
A Beautiful Planet	Ethiopia	0
A Beautiful Planet	India	0
A Beautiful Planet	Croatia	0
A Beautiful Planet	Peru	0
A Beautiful Planet	Malaysia	0
A Beautiful Planet	Bulgaria	0
A Beautiful Planet	Lithuania	0
A Beautiful Planet	Panama	0
A Beautiful Planet	Qatar	0
A Beautiful Planet	Romania	0
A Beautiful Planet	Greece	0
A Beautiful Planet	Portugal	0
A Beautiful Planet	Taiwan	0
A Beautiful Planet	Iceland	0
A Beautiful Planet	France	0
A Beautiful Planet	Russia	0.077701
A Beautiful Planet	Finland	0
A Beautiful Planet	Japan	0
A Beautiful Planet	Sweden	0
A Beautiful Planet	Ghana	0
A Beautiful Planet	Slovenia	0
A Beautiful Planet	Brazil	0
A Beautiful Planet	Uruguay	0
A Beautiful Planet	Colombia	0
A Beautiful Planet	Poland	0
A Beautiful Planet	Chile	0
A Beautiful Planet	Italy	0
A Beautiful Planet	Australia	0
A Beautiful Planet	Philippines	0
A Beautiful Planet	South Africa	0
A Beautiful Planet	Cyprus	0
A Beautiful Planet	New Zealand	0.008133
