Rank	Title	Studio	TotalGross
38	Inferno	Sony	215,451044
154	Regression	W/Dim.	14,569823
152	A Beautiful Planet	Imax	12,490222000000001
57	The Accountant	WB	141,25645100000003
18	Warcraft	Uni.	420,10739400000006
114	A Monster Calls	Focus	45,373705000000015
35	Sully	WB	219,156076
125	The Forest	Focus	39,717738999999995
53	The Magnificent Seven (2016)	Sony	159,76941100000002
181	The Lobster	A24	15,079472
190	The Autopsy of Jane Doe	IFC	6,121000000000001
177	Queen of Katwe	BV	10,00582
59	Lights Out	WB (NL)	129,94398999999999
135	The Brothers Grimsby	Sony	28,004203
44	The Monkey King 2 in 3D	CL	193,67831599999997
109	Patriots Day	LGF	49,02701199999998
62	Lion	Wein.	133,765907
88	Ouija: Origin of Evil	Uni.	80,737428
36	Hidden Figures	Fox	224,65382600000004
128	When the Bough Breaks	SGem	30,232712
174	The Darkness	BH Tilt	10,944719000000001
182	My King (Mon roi)	FM	6,980983000000002
107	The Finest Hours	BV	45,407519000000015
43	Arrival	Par.	201,39302500000002
54	Jack Reacher: Never Go Back	Par.	156,20639100000002
159	Pride and Prejudice and Zombies	SGem	16,419359999999998
6	The Secret Life of Pets	Uni.	866,0133649999999
108	Master	CJ	51,624548000000004
117	Blair Witch	LGF	44,93838499999999
179	Ratchet & Clank	Focus	13,364408000000001
70	Why Him?	Fox	112,089289
24	The Angry Birds Movie	Sony	341,550442
16	Kung Fu Panda 3	Fox	501,1093289999999
127	Billy Lynn's Long Halftime Walk	TriS	30,011476
41	Me Before You	WB (NL)	181,666297
172	The Man Who Knew Infinity	IFC	12,170791999999999
29	Passengers (2016)	Sony	298,64984400000003
153	Bad Santa 2	BG	24,097089999999994
45	Bad Moms	STX	183,53977599999996
98	Moonlight (2016)	A24	65,30501399999999
84	Train to Busan	WGUSA	92,62987700000001
121	The Wild Life (2016)	LG/S	40,106357
8	Fantastic Beasts and Where To Find Them	WB	750,1027199999999
139	Silence (2016)	Par.	23,77645699999999
131	Ae Dil Hai Mushkil	FIP	31,703937
111	Mother's Day	ORF	48,425301000000005
196	Bleed for This	ORF	6,714773
173	No Manches Frida	PNT	23,512324
83	Collateral Beauty	WB (NL)	81,05335699999999
115	Eddie the Eagle	Fox	44,741229000000004
30	Dangal	UTV	302,9053079999999
188	Midnight Special	WB	6,728365000000001
178	Miss Sloane	EC	8,100824
31	Alice Through the Looking Glass	BV	287,50598799999995
146	Fifty Shades of Black	ORF	21,01807699999999
85	Sultan	Yash	72,002045
74	10 Cloverfield Lane	Par.	101,49086999999997
22	Monster Hunt	FR	386,42354000000006
185	The Young Messiah	Focus	7,339937
103	L.O.R.D: Legend of Ravaging Dynasties	AR	56,862815
202	Denial	BST	8,021037999999999
78	The Little Prince	EOne	94,38590900000004
90	Shin Godzilla	FUN	77,763698
13	Sing	Uni.	631,1742699999998
136	Race (2016)	Focus	24,859331
110	Florence Foster Jenkins	Par.	48,919183000000004
4	Zootopia	BV	1020,5916799999999
192	My Best Friend's Wedding (2016)	Sony	5,7077919999999995
141	Triple 9	ORF	23,138650999999996
23	The Legend of Tarzan	WB	311,219288
94	Miracles from Heaven	TriS	71,84553199999999
64	Mechanic: Resurrection	LG/S	116,47479899999999
26	Star Trek Beyond	Par.	341,05707100000006
73	How to Be Single	WB (NL)	108,63871400000002
47	Storks	WB	147,53453799999994
72	Office Christmas Party	Par.	113,51815200000001
116	Risen	Sony	44,766013
138	God's Not Dead 2	PFR	24,17108
180	Morgan	Fox	6,641044999999999
124	Hell or High Water	LGF	34,98853300000001
2	Rogue One: A Star Wars Story	BV	1040,5075840000002
79	Dirty Grandpa	LGF	93,19519799999998
12	Moana	BV	617,670946
130	Keeping Up with the Joneses	Fox	26,414831999999997
27	Now You See Me 2	LG/S	330,68922800000007
91	Manchester by the Sea	RAtt.	75,54605100000003
143	Live By Night	WB	20,550405000000005
156	Masterminds (2016)	Rela.	29,706677000000003
162	The Take (2016)	HTR	12,752377999999998
198	Men & Chicken	Drft.	4,765465
58	Gods of Egypt	LG/S	141,36713800000004
65	Ride Along 2	Uni.	120,09614999999998
169	Shut In	EC	11,242816999999999
60	Pete's Dragon (2016)	BV	135,477748
97	13 Hours: The Secret Soldiers of Benghazi	Par.	64,17738100000001
63	Detective Chinatown (Tang ren jie tan an)	CL	125,84268300000001
99	Fences	Par.	64,29831899999999
191	Captain Fantastic	BST	14,878055999999997
28	The Conjuring 2	WB (NL)	278,58533099999994
11	Doctor Strange	BV	651,5725869999998
76	Neighbors 2: Sorority Rising	Uni.	105,55116299999997
123	Absolutely Fabulous: The Movie	FoxS	34,376124000000004
101	Hail, Caesar!	Uni.	59,129484999999995
50	The Girl on the Train (2016)	Uni.	172,54692599999996
48	The Divergent Series: Allegiant	LG/S	173,44194000000005
199	The Meddler	SPC	5,457929999999999
119	Almost Christmas	Uni.	42,510923000000005
93	Boo! A Madea Halloween	LGF	74,009432
197	Hands of Stone	Wein.	4,965560999999999
140	Middle School: The Worst Years of My Life	LGF	23,194602000000003
21	Independence Day: Resurgence	Fox	364,8038590000001
66	Deepwater Horizon	LG/S	117,61761900000005
129	Nocturnal Animals	Focus	29,455354999999997
142	Whiskey Tango Foxtrot	Par.	24,988805000000003
86	War Dogs	WB	75,79776799999999
134	The Light Between Oceans	BV	25,641959999999994
34	Assassin's Creed	Fox	226,22487
1	Captain America: Civil War	BV	1089,172271
102	The Nice Guys	WB	62,82645499999999
69	The Purge: Election Year	Uni.	117,10468999999999
151	Eye in the Sky	BST	35,255058
187	Max Steel	ORF	5,356977
118	Cafe Society	LGF	43,069837
194	20th Century Women	A24	7,221559000000001
87	Nerve	LGF	84,393499
